stem,stem_genders,form,form_gender,case,number
azwan,none,azwa,none,1,p
azwan,none,azwO,none,1,p
azwan,none,azwaBis,none,2,p
azwan,none,azwABis,none,2,p
azwan,none,azwaByas,none,3,p
azwan,none,azwAByas,none,3,p
azwan,none,azwaByas,none,4,p
azwan,none,azwAByas,none,4,p
azwan,none,azwAnAm,none,5,p
azwan,none,azwasu,none,6,p
azwan,none,azwAsu,none,6,p
azwAdaSan,none,azwAdaSa,none,1,p
azwAdaSan,none,azwAdaSa,none,2,p
azwAdaSan,none,azwAdaSaBis,none,3,p
azwAdaSan,none,azwAdaSaByas,none,4,p
azwAdaSan,none,azwAdaSaByas,none,5,p
azwAdaSan,none,azwAdaSAnAm,none,6,p
azwAdaSan,none,azwAdaSasu,none,7,p
azwAdaSan,none,azwAdaSa,none,8,p
ekAdaSan,none,ekAdaSa,none,1,p
ekAdaSan,none,ekAdaSa,none,2,p
ekAdaSan,none,ekAdaSaBis,none,3,p
ekAdaSan,none,ekAdaSaByas,none,4,p
ekAdaSan,none,ekAdaSaByas,none,5,p
ekAdaSan,none,ekAdaSAnAm,none,6,p
ekAdaSan,none,ekAdaSasu,none,7,p
ekAdaSan,none,ekAdaSa,none,8,p
caturdaSan,none,caturdaSa,none,1,p
caturdaSan,none,caturdaSa,none,2,p
caturdaSan,none,caturdaSaBis,none,3,p
caturdaSan,none,caturdaSaByas,none,4,p
caturdaSan,none,caturdaSaByas,none,5,p
caturdaSan,none,caturdaSAnAm,none,6,p
caturdaSan,none,caturdaSasu,none,7,p
caturdaSan,none,caturdaSa,none,8,p
trayodaSan,none,trayodaSa,none,1,p
trayodaSan,none,trayodaSa,none,2,p
trayodaSan,none,trayodaSaBis,none,3,p
trayodaSan,none,trayodaSaByas,none,4,p
trayodaSan,none,trayodaSaByas,none,5,p
trayodaSan,none,trayodaSAnAm,none,6,p
trayodaSan,none,trayodaSasu,none,7,p
trayodaSan,none,trayodaSa,none,8,p
tri,m,trayas,m,1,p
tri,m,trIn,m,2,p
tri,m,triBis,m,3,p
tri,m,triByas,m,4,p
tri,m,triByas,m,5,p
tri,m,trayARAm,m,6,p
tri,m,trizu,m,7,p
tri,m,trayas,m,8,p
tri,f,tisras,f,1,p
tri,f,tisras,f,2,p
tri,f,tisfBis,f,3,p
tri,f,tisfByas,f,4,p
tri,f,tisfByas,f,5,p
tri,f,tisfRAm,f,6,p
tri,f,tisfzu,f,7,p
tri,f,tisras,f,8,p
tri,n,trIRi,n,1,p
tri,n,trIRi,n,2,p
tri,n,triBis,n,3,p
tri,n,triByas,n,4,p
tri,n,triByas,n,5,p
tri,n,trayARAm,n,6,p
tri,n,trizu,n,7,p
tri,n,trIRi,n,8,p
daSan,none,daSa,none,1,p
daSan,none,daSa,none,2,p
daSan,none,daSaBis,none,3,p
daSan,none,daSaByas,none,4,p
daSan,none,daSaByas,none,5,p
daSan,none,daSAnAm,none,6,p
daSan,none,daSasu,none,7,p
daSan,none,daSa,none,8,p
dvAdaSan,none,dvAdaSa,none,1,p
dvAdaSan,none,dvAdaSa,none,2,p
dvAdaSan,none,dvAdaSaBis,none,3,p
dvAdaSan,none,dvAdaSaByas,none,4,p
dvAdaSan,none,dvAdaSaByas,none,5,p
dvAdaSan,none,dvAdaSAnAm,none,6,p
dvAdaSan,none,dvAdaSasu,none,7,p
dvAdaSan,none,dvAdaSa,none,8,p
navan,none,nava,none,1,p
navan,none,nava,none,2,p
navan,none,navaBis,none,3,p
navan,none,navaByas,none,4,p
navan,none,navaByas,none,5,p
navan,none,navAnAm,none,6,p
navan,none,navasu,none,7,p
navan,none,nava,none,8,p
paYcadaSan,none,paYcadaSa,none,1,p
