stem,stem_genders,form,form_gender,case,number
adas,mfn,asO,m,1,s
adas,mfn,amU,m,1,d
adas,mfn,amI,m,1,p
adas,mfn,amum,m,2,s
adas,mfn,amU,m,2,d
adas,mfn,amUn,m,2,p
adas,mfn,amunA,m,3,s
adas,mfn,amUByAm,m,3,d
adas,mfn,amIBis,m,3,p
adas,mfn,amuzmE,m,4,s
adas,mfn,amUByAm,m,4,d
adas,mfn,amIByas,m,4,p
adas,mfn,amuzmAt,m,5,s
adas,mfn,amUByAm,m,5,d
adas,mfn,amIByas,m,5,p
adas,mfn,amuzya,m,6,s
adas,mfn,amuyos,m,6,d
adas,mfn,amInAm,m,6,p
adas,mfn,amuzmin,m,7,s
adas,mfn,amuyos,m,7,d
adas,mfn,amIzu,m,7,p
adas,mfn,asO,f,1,s
adas,mfn,amU,f,1,d
adas,mfn,amUs,f,1,p
adas,mfn,amUm,f,2,s
adas,mfn,amU,f,2,d
adas,mfn,amUs,f,2,p
adas,mfn,amuyA,f,3,s
adas,mfn,amUByAm,f,3,d
adas,mfn,amUBis,f,3,p
adas,mfn,amuzyE,f,4,s
adas,mfn,amUByAm,f,4,d
adas,mfn,amUByas,f,4,p
adas,mfn,amuzyAs,f,5,s
adas,mfn,amUByAm,f,5,d
adas,mfn,amUByas,f,5,p
adas,mfn,amuzyAs,f,6,s
adas,mfn,amuyos,f,6,d
adas,mfn,amUzAm,f,6,p
adas,mfn,amuzyAm,f,7,s
adas,mfn,amuyos,f,7,d
adas,mfn,amUzu,f,7,p
adas,mfn,adas,n,1,s
adas,mfn,amU,n,1,d
adas,mfn,amUni,n,1,p
adas,mfn,adas,n,2,s
adas,mfn,amU,n,2,d
adas,mfn,amUni,n,2,p
adas,mfn,amunA,n,3,s
adas,mfn,amUByAm,n,3,d
adas,mfn,amIBis,n,3,p
adas,mfn,amuzmE,n,4,s
adas,mfn,amUByAm,n,4,d
adas,mfn,amIByas,n,4,p
adas,mfn,amuzmAt,n,5,s
adas,mfn,amUByAm,n,5,d
adas,mfn,amIByas,n,5,p
adas,mfn,amuzya,n,6,s
adas,mfn,amuyos,n,6,d
adas,mfn,amInAm,n,6,p
adas,mfn,amuzmin,n,7,s
adas,mfn,amuyos,n,7,d
adas,mfn,amIzu,n,7,p
asmad,none,aham,none,1,s
asmad,none,AvAm,none,1,d
asmad,none,vayam,none,1,p
asmad,none,mAm,none,2,s
asmad,none,mA,none,2,s
asmad,none,AvAm,none,2,d
asmad,none,nO,none,2,d
asmad,none,asmAn,none,2,p
asmad,none,nas,none,2,p
asmad,none,mayA,none,3,s
asmad,none,AvAByAm,none,3,d
asmad,none,asmABis,none,3,p
asmad,none,mahyam,none,4,s
asmad,none,me,none,4,s
asmad,none,AvAByAm,none,4,d
asmad,none,nO,none,4,d
asmad,none,asmaByam,none,4,p
asmad,none,nas,none,4,p
asmad,none,mat,none,5,s
asmad,none,AvAByAm,none,5,d
asmad,none,asmat,none,5,p
asmad,none,mama,none,6,s
asmad,none,me,none,6,s
asmad,none,Avayos,none,6,d
asmad,none,nO,none,6,d
asmad,none,asmAkam,none,6,p
asmad,none,nas,none,6,p
asmad,none,mayi,none,7,s
asmad,none,Avayos,none,7,d
