stem,stem_genders,ending,form_gender,case,number
a,m,as,m,1,s
a,m,O,m,1,d
a,m,As,m,1,p
a,m,am,m,2,s
a,m,O,m,2,d
a,m,An,m,2,p
a,m,a,m,8,s
a,m,O,m,8,d
a,m,As,m,8,p
a,n,am,n,1,s
a,n,e,n,1,d
a,n,Ani,n,1,p
a,n,am,n,2,s
a,n,e,n,2,d
a,n,Ani,n,2,p
a,n,a,n,8,s
a,n,e,n,8,d
a,n,Ani,n,8,p
a,m,ena,m,3,s
a,n,ena,n,3,s
a,m,AByAm,m,3,d
a,n,AByAm,n,3,d
a,m,Es,m,3,p
a,n,Es,n,3,p
a,m,Aya,m,4,s
a,n,Aya,n,4,s
a,m,AByAm,m,4,d
a,n,AByAm,n,4,d
a,m,eByas,m,4,p
a,n,eByas,n,4,p
a,m,At,m,5,s
a,n,At,n,5,s
a,m,AByAm,m,5,d
a,n,AByAm,n,5,d
a,m,eByas,m,5,p
a,n,eByas,n,5,p
a,m,asya,m,6,s
a,n,asya,n,6,s
a,m,ayos,m,6,d
a,n,ayos,n,6,d
a,m,AnAm,m,6,p
a,n,AnAm,n,6,p
a,m,e,m,7,s
a,n,e,n,7,s
a,m,ayos,m,7,d
a,n,ayos,n,7,d
a,m,ezu,m,7,p
a,n,ezu,n,7,p
a,f,A,f,1,s
a,f,e,f,1,d
a,f,As,f,1,p
a,f,Am,f,2,s
a,f,e,f,2,d
a,f,As,f,2,p
a,f,ayA,f,3,s
a,f,AByAm,f,3,d
a,f,ABis,f,3,p
a,f,AyE,f,4,s
a,f,AByAm,f,4,d
a,f,AByas,f,4,p
a,f,AyAs,f,5,s
a,f,AByAm,f,5,d
a,f,AByas,f,5,p
a,f,AyAs,f,6,s
a,f,ayos,f,6,d
a,f,AnAm,f,6,p
a,f,AyAm,f,7,s
a,f,ayos,f,7,d
a,f,Asu,f,7,p
a,f,e,f,8,s
a,f,e,f,8,d
a,f,As,f,8,p
a,f,I,f,1,s
a,f,yO,f,1,d
a,f,yas,f,1,p
a,f,Im,f,2,s
a,f,yO,f,2,d
a,f,Is,f,2,p
a,f,yA,f,3,s
a,f,IByAm,f,3,d
a,f,IBis,f,3,p
a,f,yE,f,4,s
a,f,IByAm,f,4,d
a,f,IByas,f,4,p
a,f,yAs,f,5,s
a,f,IByAm,f,5,d
a,f,IByas,f,5,p
a,f,yAs,f,6,s
a,f,yos,f,6,d
a,f,InAm,f,6,p
a,f,yAm,f,7,s
a,f,yos,f,7,d
a,f,Izu,f,7,p
a,f,i,f,8,s
a,f,yO,f,8,d
a,f,yas,f,8,p
at,m,an,m,1,s
at,m,antO,m,1,d
at,m,antas,m,1,p
at,m,antam,m,2,s
at,m,antO,m,2,d
at,m,atas,m,2,p
at,m,an,m,8,s
at,m,antO,m,8,d
at,m,antas,m,8,p
at,n,at,n,1,s
at,n,atI,n,1,d
at,n,anti,n,1,p
at,n,at,n,2,s
at,n,atI,n,2,d
at,n,anti,n,2,p
at,n,at,n,8,s
at,n,atI,n,8,d
at,n,anti,n,8,p
at,m,atA,m,3,s
at,n,atA,n,3,s
at,m,adByAm,m,3,d
at,n,adByAm,n,3,d
at,m,adBis,m,3,p
at,n,adBis,n,3,p
at,m,ate,m,4,s
at,n,ate,n,4,s
at,m,adByAm,m,4,d
at,n,adByAm,n,4,d
at,m,adByas,m,4,p
at,n,adByas,n,4,p
at,m,atas,m,5,s
at,n,atas,n,5,s
at,m,adByAm,m,5,d
at,n,adByAm,n,5,d
at,m,adByas,m,5,p
at,n,adByas,n,5,p
at,m,atas,m,6,s
at,n,atas,n,6,s
at,m,atos,m,6,d
at,n,atos,n,6,d
at,m,atAm,m,6,p
at,n,atAm,n,6,p
at,m,ati,m,7,s
at,n,ati,n,7,s
at,m,atos,m,7,d
at,n,atos,n,7,d
at,m,atsu,m,7,p
at,n,atsu,n,7,p
at,f,antI,f,1,s
at,f,antyO,f,1,d
at,f,antyaH,f,1,p
at,f,antIm,f,2,s
at,f,antyO,f,2,d
at,f,antIH,f,2,p
at,f,antyA,f,3,s
at,f,antIByAm,f,3,d
at,f,antIBis,f,3,p
at,f,antyE,f,4,s
at,f,antIByAm,f,4,d
at,f,antIByas,f,4,p
