stem,stem_genders,form,form_gender,case,number
akzi,n,akzi,n,1,s
akzi,n,akzinI,n,1,d
akzi,n,akzIni,n,1,p
akzi,n,akzi,n,2,s
akzi,n,akzinI,n,2,d
akzi,n,akzIni,n,2,p
akzi,n,akzRA,n,3,s
akzi,n,akziByAm,n,3,d
akzi,n,akziBis,n,3,p
akzi,n,akzRe,n,4,s
akzi,n,akziByAm,n,4,d
akzi,n,akziByas,n,4,p
akzi,n,akzRas,n,5,s
akzi,n,akziByAm,n,5,d
akzi,n,akziByas,n,5,p
akzi,n,akzRas,n,6,s
akzi,n,akzRos,n,6,d
akzi,n,akzRAm,n,6,p
akzi,n,akzRi,n,7,s
akzi,n,akzaRi,n,7,s
akzi,n,akzRos,n,7,d
akzi,n,akzizu,n,7,p
akzi,n,akze,n,8,s
akzi,n,akzi,n,8,s
akzi,n,akzinI,n,8,d
akzi,n,akzIni,n,8,p
anaquh,m,anaqvAn,m,1,s
anaquh,m,anaqvAhO,m,1,d
anaquh,m,anaqvAhas,m,1,p
anaquh,m,anaqvAham,m,2,s
anaquh,m,anaqvAhO,m,2,d
anaquh,m,anaquhas,m,2,p
anaquh,m,anaquhA,m,3,s
anaquh,m,anaqudByAm,m,3,d
anaquh,m,anaqudBis,m,3,p
anaquh,m,anaquhe,m,4,s
anaquh,m,anaqudByAm,m,4,d
anaquh,m,anaqudByas,m,4,p
anaquh,m,anaquhas,m,5,s
anaquh,m,anaqudByAm,m,5,d
anaquh,m,anaqudByas,m,5,p
anaquh,m,anaquhas,m,6,s
anaquh,m,anaquhos,m,6,d
anaquh,m,anaquhAm,m,6,p
anaquh,m,anaquhi,m,7,s
anaquh,m,anaquhos,m,7,d
anaquh,m,anaqutsu,m,7,p
anaquh,m,anaqvan,m,8,s
anaquh,m,anaqvAhO,m,8,d
anaquh,m,anaqvAhas,m,8,p
atisaKi,m,atisaKA,m,1,s
atisaKi,m,atisaKAyO,m,1,d
atisaKi,m,atisaKAyas,m,1,p
atisaKi,m,atisaKAyam,m,2,s
atisaKi,m,atisaKAyO,m,2,d
atisaKi,m,atisaKIn,m,2,p
atisaKi,m,atisaKinA,m,3,s
atisaKi,m,atisaKiByAm,m,3,d
atisaKi,m,atisaKiBis,m,3,p
atisaKi,m,atisaKaye,m,4,s
atisaKi,m,atisaKiByAm,m,4,d
atisaKi,m,atisaKiByas,m,4,p
atisaKi,m,atisaKes,m,5,s
atisaKi,m,atisaKiByAm,m,5,d
atisaKi,m,atisaKiByas,m,5,p
atisaKi,m,atisaKes,m,6,s
atisaKi,m,atisaKyos,m,6,d
atisaKi,m,atisaKInAm,m,6,p
atisaKi,m,atisaKO,m,7,s
atisaKi,m,atisaKyos,m,7,d
atisaKi,m,atisaKIzu,m,7,p
atisaKi,m,atisaKe,m,8,s
atisaKi,m,atisaKAyO,m,8,d
atisaKi,m,atisaKAyas,m,8,p
aryaman,m,aryamA,m,1,s
aryaman,m,aryamaRO,m,1,d
aryaman,m,aryamaRas,m,1,p
aryaman,m,aryamaRam,m,2,s
aryaman,m,aryamaRO,m,2,d
aryaman,m,aryamRas,m,2,p
aryaman,m,aryamRA,m,3,s
aryaman,m,aryamaByAm,m,3,d
aryaman,m,aryamaBis,m,3,p
aryaman,m,aryamRe,m,4,s
aryaman,m,aryamaByAm,m,4,d
aryaman,m,aryamaByas,m,4,p
aryaman,m,aryamRas,m,5,s
aryaman,m,aryamaByAm,m,5,d
aryaman,m,aryamaByas,m,5,p
aryaman,m,aryamRas,m,6,s
aryaman,m,aryamRos,m,6,d
aryaman,m,aryamRAm,m,6,p
aryaman,m,aryamRi,m,7,s
aryaman,m,aryamaRi,m,7,s
aryaman,m,aryamRos,m,7,d
aryaman,m,aryamasu,m,7,p
aryaman,m,aryaman,m,8,s
aryaman,m,aryamaRO,m,8,d
aryaman,m,aryamaRas,m,8,p
asTi,n,asTi,n,1,s
asTi,n,asTinI,n,1,d
asTi,n,asTIni,n,1,p
asTi,n,asTi,n,2,s
asTi,n,asTinI,n,2,d
asTi,n,asTIni,n,2,p
asTi,n,asTnA,n,3,s
asTi,n,asTiByAm,n,3,d
asTi,n,asTiBis,n,3,p
asTi,n,asTne,n,4,s
asTi,n,asTiByAm,n,4,d
asTi,n,asTiByas,n,4,p
asTi,n,asTnas,n,5,s
asTi,n,asTiByAm,n,5,d
asTi,n,asTiByas,n,5,p
asTi,n,asTnas,n,6,s
asTi,n,asTnos,n,6,d
asTi,n,asTnAm,n,6,p
