stem,stem_genders,form,form_gender,case,number
sarva,mfn,sarvas,m,1,s
sarva,mfn,sarvO,m,1,d
sarva,mfn,sarve,m,1,p
sarva,mfn,sarvam,m,2,s
sarva,mfn,sarvO,m,2,d
sarva,mfn,sarvAn,m,2,p
sarva,mfn,sarveRa,m,3,s
sarva,mfn,sarvAByAm,m,3,d
sarva,mfn,sarvEs,m,3,p
sarva,mfn,sarvasmE,m,4,s
sarva,mfn,sarvAByAm,m,4,d
sarva,mfn,sarveByas,m,4,p
sarva,mfn,sarvasmAt,m,5,s
sarva,mfn,sarvAByAm,m,5,d
sarva,mfn,sarveByas,m,5,p
sarva,mfn,sarvasya,m,6,s
sarva,mfn,sarvayos,m,6,d
sarva,mfn,sarvezAm,m,6,p
sarva,mfn,sarvasmin,m,7,s
sarva,mfn,sarvayos,m,7,d
sarva,mfn,sarvezu,m,7,p
sarva,mfn,sarvas,m,8,s
sarva,mfn,sarvO,m,8,d
sarva,mfn,sarve,m,8,p
sarva,mfn,sarvA,f,1,s
sarva,mfn,sarve,f,1,d
sarva,mfn,sarvAs,f,1,p
sarva,mfn,sarvAm,f,2,s
sarva,mfn,sarve,f,2,d
sarva,mfn,sarvAs,f,2,p
sarva,mfn,sarvayA,f,3,s
sarva,mfn,sarvAByAm,f,3,d
sarva,mfn,sarvABis,f,3,p
sarva,mfn,sarvasyE,f,4,s
sarva,mfn,sarvAByAm,f,4,d
sarva,mfn,sarvAByas,f,4,p
sarva,mfn,sarvasyAs,f,5,s
sarva,mfn,sarvAByAm,f,5,d
sarva,mfn,sarvAByas,f,5,p
sarva,mfn,sarvasyAs,f,6,s
sarva,mfn,sarvayos,f,6,d
sarva,mfn,sarvAsAm,f,6,p
sarva,mfn,sarvasyAm,f,7,s
sarva,mfn,sarvayos,f,7,d
sarva,mfn,sarvAsu,f,7,p
sarva,mfn,sarvA,f,8,s
sarva,mfn,sarve,f,8,d
sarva,mfn,sarvAs,f,8,p
sarva,mfn,sarvam,n,1,s
sarva,mfn,sarve,n,1,d
sarva,mfn,sarvARi,n,1,p
sarva,mfn,sarvam,n,2,s
sarva,mfn,sarve,n,2,d
sarva,mfn,sarvARi,n,2,p
sarva,mfn,sarveRa,n,3,s
sarva,mfn,sarvAByAm,n,3,d
sarva,mfn,sarvEs,n,3,p
sarva,mfn,sarvasmE,n,4,s
sarva,mfn,sarvAByAm,n,4,d
sarva,mfn,sarveByas,n,4,p
sarva,mfn,sarvasmAt,n,5,s
sarva,mfn,sarvAByAm,n,5,d
sarva,mfn,sarveByas,n,5,p
sarva,mfn,sarvasya,n,6,s
sarva,mfn,sarvayos,n,6,d
sarva,mfn,sarvezAm,n,6,p
sarva,mfn,sarvam,n,7,s
sarva,mfn,sarve,n,7,d
sarva,mfn,sarvARi,n,7,p
sarva,mfn,sarvam,n,8,s
sarva,mfn,sarve,n,8,d
sarva,mfn,sarvARi,n,8,p
viSva,mfn,viSvas,m,1,s
viSva,mfn,viSvO,m,1,d
viSva,mfn,viSve,m,1,p
viSva,mfn,viSvam,m,2,s
viSva,mfn,viSvO,m,2,d
viSva,mfn,viSvAn,m,2,p
viSva,mfn,viSvena,m,3,s
viSva,mfn,viSvAByAm,m,3,d
viSva,mfn,viSvEs,m,3,p
viSva,mfn,viSvasmE,m,4,s
viSva,mfn,viSvAByAm,m,4,d
viSva,mfn,viSveByas,m,4,p
viSva,mfn,viSvasmAt,m,5,s
viSva,mfn,viSvAByAm,m,5,d
viSva,mfn,viSveByas,m,5,p
viSva,mfn,viSvasya,m,6,s
viSva,mfn,viSvayos,m,6,d
viSva,mfn,viSvezAm,m,6,p
viSva,mfn,viSvasmin,m,7,s
viSva,mfn,viSvayos,m,7,d
viSva,mfn,viSvezu,m,7,p
viSva,mfn,viSvas,m,8,s
viSva,mfn,viSvO,m,8,d
viSva,mfn,viSve,m,8,p
viSva,mfn,viSvA,f,1,s
viSva,mfn,viSve,f,1,d
viSva,mfn,viSvAs,f,1,p
viSva,mfn,viSvAm,f,2,s
viSva,mfn,viSve,f,2,d
viSva,mfn,viSvAs,f,2,p
viSva,mfn,viSvayA,f,3,s
viSva,mfn,viSvAByAm,f,3,d
viSva,mfn,viSvABis,f,3,p
viSva,mfn,viSvasyE,f,4,s
viSva,mfn,viSvAByAm,f,4,d
viSva,mfn,viSvAByas,f,4,p
viSva,mfn,viSvasyAs,f,5,s
viSva,mfn,viSvAByAm,f,5,d
viSva,mfn,viSvAByas,f,5,p
