ending,category,person,number,mode,voice
ti,both,3,s,pres,para
tas,both,3,d,pres,para
anti,both,3,p,pres,para
si,both,2,s,pres,para
Tas,both,2,d,pres,para
Ta,both,2,p,pres,para
mi,both,1,s,pres,para
vas,both,1,d,pres,para
mas,both,1,p,pres,para
te,simple,3,s,pres,atma
ite,simple,3,d,pres,atma
ante,simple,3,p,pres,atma
ase,simple,2,s,pres,atma
iTe,simple,2,d,pres,atma
Dve,simple,2,p,pres,atma
i,simple,1,s,pres,atma
vahe,simple,1,d,pres,atma
mahe,simple,1,p,pres,atma
te,complex,3,s,pres,atma
Ate,complex,3,d,pres,atma
ate,complex,3,p,pres,atma
se,complex,2,s,pres,atma
ATe,complex,2,d,pres,atma
Dve,complex,2,p,pres,atma
e,complex,1,s,pres,atma
vahe,complex,1,d,pres,atma
mahe,complex,1,p,pres,atma
t,both,3,s,ipft,para
tAm,both,3,d,ipft,para
an,both,3,p,ipft,para
s,both,2,s,ipft,para
tam,both,2,d,ipft,para
ta,both,2,p,ipft,para
am,both,1,s,ipft,para
va,both,1,d,ipft,para
ma,both,1,p,ipft,para
ta,simple,3,s,ipft,atma
itAm,simple,3,d,ipft,atma
anta,simple,3,p,ipft,atma
TAs,simple,2,s,ipft,atma
iTAm,simple,2,d,ipft,atma
Dvam,simple,2,p,ipft,atma
i,simple,1,s,ipft,atma
vahi,simple,1,d,ipft,atma
mahi,simple,1,p,ipft,atma
ta,complex,3,s,ipft,atma
AtAm,complex,3,d,ipft,atma
ata,complex,3,p,ipft,atma
TAs,complex,2,s,ipft,atma
ATAm,complex,2,d,ipft,atma
Dvam,complex,2,p,ipft,atma
i,complex,1,s,ipft,atma
vahi,complex,1,d,ipft,atma
mahi,complex,1,p,ipft,atma
tu,simple,3,s,impv,para
tAm,simple,3,d,impv,para
antu,simple,3,p,impv,para
,simple,2,s,impv,para
tam,simple,2,d,impv,para
ta,simple,2,p,impv,para
Ani,simple,1,s,impv,para
Ava,simple,1,d,impv,para
Ama,simple,1,p,impv,para
tu,complex,3,s,impv,para
tAm,complex,3,d,impv,para
antu,complex,3,p,impv,para
hi,complex,2,s,impv,para
tam,complex,2,d,impv,para
ta,complex,2,p,impv,para
Ani,complex,1,s,impv,para
Ava,complex,1,d,impv,para
Ama,complex,1,p,impv,para
tAm,simple,3,s,impv,atma
itAm,simple,3,d,impv,atma
antAm,simple,3,p,impv,atma
sva,simple,2,s,impv,atma
iTAm,simple,2,d,impv,atma
Dvam,simple,2,p,impv,atma
E,simple,1,s,impv,atma
AvahE,simple,1,d,impv,atma
AmahE,simple,1,p,impv,atma
tAm,complex,3,s,impv,atma
AtAm,complex,3,d,impv,atma
atAm,complex,3,p,impv,atma
sva,complex,2,s,impv,atma
ATAm,complex,2,d,impv,atma
Dvam,complex,2,p,impv,atma
E,complex,1,s,impv,atma
AvahE,complex,1,d,impv,atma
AmahE,complex,1,p,impv,atma
It,simple,3,s,opt,para
ItAm,simple,3,d,opt,para
Iyus,simple,3,p,opt,para
Is,simple,2,s,opt,para
Itam,simple,2,d,opt,para
Ita,simple,2,p,opt,para
Iyam,simple,1,s,opt,para
Iva,simple,1,d,opt,para
Ima,simple,1,p,opt,para
yAt,complex,3,s,opt,para
yAtAm,complex,3,d,opt,para
yus,complex,3,p,opt,para
yAs,complex,2,s,opt,para
yAtam,complex,2,d,opt,para
yAta,complex,2,p,opt,para
yAm,complex,1,s,opt,para
yAva,complex,1,d,opt,para
yAma,complex,1,p,opt,para
Ita,both,3,s,opt,atma
IyAtAm,both,3,d,opt,atma
Iran,both,3,p,opt,atma
ITAs,both,2,s,opt,atma
IyATAm,both,2,d,opt,atma
IDvam,both,2,p,opt,atma
Iya,both,1,s,opt,atma
Ivahi,both,1,d,opt,atma
Imahi,both,1,p,opt,atma
yAt,both,3,s,ben,para
yAstAm,both,3,d,ben,para
yAsur,both,3,p,ben,para
yAs,both,2,s,ben,para
yAstam,both,2,d,ben,para
yAsta,both,2,p,ben,para
yAsam,both,1,s,ben,para
yAsva,both,1,d,ben,para
yAsma,both,1,p,ben,para
sIzwa,both,3,s,ben,atma
sIyAstAm,both,3,d,ben,atma
sIran,both,3,p,ben,atma
sIzWAs,both,2,s,ben,atma
sIyAsTAm,both,2,d,ben,atma
sIDvam,both,2,p,ben,atma
sIya,both,1,s,ben,atma
sIvahi,both,1,d,ben,atma
sImahi,both,1,p,ben,atma
,both,3,s,dfut,para
rO,both,3,d,dfut,para
ras,both,3,p,dfut,para
si,both,2,s,dfut,para
sTas,both,2,d,dfut,para
sTa,both,2,p,dfut,para
smi,both,1,s,dfut,para
svas,both,1,d,dfut,para
smas,both,1,p,dfut,para
,both,3,s,dfut,atma
rO,both,3,d,dfut,atma
ras,both,3,p,dfut,atma
se,both,2,s,dfut,atma
sATe,both,2,d,dfut,atma
Dve,both,2,p,dfut,atma
he,both,1,s,dfut,atma
svahe,both,1,d,dfut,atma
smahe,both,1,p,dfut,atma
