stem,stem_genders
a,m
afRin,mfn
aMSa,m
aMSaka,mfn
aMSaka,m
aMSaka,n
aMSakaraRa,n
aMSakalpanA,f
aMSaprakalpanA,f
aMSapradAna,n
aMSaBAgin,mfn
aMSaBAj,mfn
aMSaBU,m
aMSaBUta,mfn
aMSarUpiRI,f
aMSavat,m
aMSasavarRana,n
aMSasvara,m
aMSahara,mfn
aMSahArin,mfn
aMSAMSa,m
aMSAvataraRa,n
aMSitA,f
aMSin,mfn
aMSu,m
aMSuka,n
aMSujAla,n
aMSuDara,m
aMSuDAna,n
aMSuDAraya,m
aMSunadI,f
aMSupawwa,n
aMSupati,m
aMSuBartf,m
aMSumat,mfn
aMSumat,m
aMSumatI,f
aMSumatPalA,f
aMSumAlA,f
aMSumAlin,m
aMSula,m
aMSuvARa,m
aMSuvimarda,m
aMSuhasta,m
aMSUdaka,n
aMsa,m
aMsakUwa,m
aMsatra,n
aMsatrakoSa,mfn
aMsadaGna,mfn
aMsaDrI,f
aMsapIWa,m
aMsapfzWa,n
aMsaPalaka,n
aMsaBAra,m
aMsaBArika,mfn
aMsamUla,n
aMsala,mfn
aMseBAra,m
aMseBArika,mfn
aMsoccaya,m
aMsya,mfn
aMhati,f
aMhatI,f
aMhana,n
aMhas,n
aMhasaspati,m
aMhaspatya,n
aMhiti,f
aMhu,mfn
aMhu,n
aMhuBedI,f
aMhura,mfn
aMhUraRa,mfn
aMhUraRa,n
aMhomuc,mfn
aMhoyu,mfn
aMholiNga,mfn
aMhri,m
aMhripa,m
aMhriSiras,n
aMhriskanDa,m
aka,n
akaca,mfn
akaca,m
akawuka,mfn
akawuPala,m
akaWora,mfn
akaqama,n
akaqamacakra,n
akaRaka,mfn
akaRwaka,mfn
akaRWa,mfn
akatTana,mfn
akaTaha,n
akaTya,mfn
akanizWa,m
akanizWaga,m
akanizWapa,m
akanyA,f
akapIvat,m
akabara,m
akabbara,m
akampana,m
akampita,mfn
akampita,m
akampya,mfn
akara,mfn
akaraRa,n
akaraRi,f
akaraRIya,mfn
akarA,f
akarizyat,mfn
akaruRa,mfn
akaruRatva,n
akarkaSa,mfn
akarRa,mfn
akarRaka,mfn
akarRaDAra,mfn
akarRIya,mfn
akarRya,mfn
akartana,m
akartf,m
akartftva,n
akarmaka,mfn
akarmaRya,mfn
akarman,mfn
akarman,n
akarmaBoga,m
akarmAnvita,mfn
akarmikA,f
akala,mfn
akalaNka,mfn
akali,mfn
akalita,mfn
akalka,mfn
akalkatA,f
akalkana,mfn
akalkala,mfn
akalkA,f
akalpa,mfn
akalpita,mfn
akalmaza,mfn
akalmaza,m
akalmAza,mfn
akalmAza,m
akalya,mfn
akalyARa,mfn
akalyARa,n
akava,mfn
akavaca,mfn
akavara,m
akavAri,mfn
akavi,mfn
akasyavid,mfn
akARa,mfn
akARqa,mfn
akARqapAtajAta,mfn
akARqaSUla,n
akAtara,mfn
akAma,mfn
akAmakarSana,mfn
akAmatA,f
akAmasaMjYapana,n
akAmahata,mfn
akAmin,mfn
akAya,mfn
akAyikA,f
akAra,m
akAraRa,mfn
akAraRa,n
akAraRotpanna,mfn
akArin,mfn
akArRavezwakika,mfn
akArya,mfn
akArya,n
akAryakArin,mfn
akArzRya,n
akAla,m
akAla,mfn
akAlaka,n
akAlakuzmARqa,m
akAlakusuma,n
akAlakOmudI,f
akAlaja,mfn
akAlajaladodaya,m
akAlajAta,mfn
akAlameGodaya,m
akAlavelA,f
akAlasaha,mfn
akAlotpanna,mfn
akAlya,mfn
akAvaNka,n
akAsAra,m
akiMcitkara,mfn
akiMcid,n
akiYcana,mfn
akiYcana,n
akiYcanatA,f
akiYcanatva,n
akiYcaniman,m
akitava,m
akilina,mfn
akilviza,mfn
akIrti,f
akIrtikara,mfn
akuRWa,mfn
akuRWaDizRya,n
akuRWita,mfn
akuRqala,mfn
akutaScana,m
akutaScala,m
akutaScidBaya,mfn
akutUhala,mfn
akutoBaya,mfn
akutomftyu,mfn
akutracaBaya,mfn
akutsayat,mfn
akutsita,mfn
akupya,n
