prefixed_root,unprefixed_root,hom
akzilakzIkf,kf,
agocarIkf,kf,
agraRIkf,kf,
aNgArasAtkf,kf,
acCApat,pat,
acCAvft,vft,
atiTIkf,kf,
atiTIBU,BU,
atinizwan,tan,
atinI,nI,
atiparI,i,
atipA,pA,1
atipU,pU,
atipF,pF,
atipraRaS,naS,
atipraRI,nI,
atipraRud,nud,
atipravA,vA,2
atipraSru,Sru,
atiprasad,sad,
atiprahA,hA,
atiBU,BU,
atiBf,Bf,
ativA,vA,2
ativiDA,DA,
atiSi,Si,
atizkand,skand,
atizwu,stu,
atizWA,sTA,
atihve,hve,
atI,i,
atyAyat,yat,
atyudDA,hA,
aDikf,kf,1
aDikf,kf,
aDigam,gam,
aDigA,gA,1
aDidiS,diS,
aDiDA,DA,
aDiDf,Df,
aDinam,nam,
aDinizad,sad,
aDiyat,yat,
aDiyam,yam,
aDiruh,ruh,
aDiluW,luW,
aDivap,vap,2
aDivas,vas,4
aDivikram,kram,
aDivid,vid,3
aDivfj,vfj,
aDivfD,vfD,
aDizu,su,
aDizkand,skand,
aDizWA,sTA,
aDizvan,svan,
aDI,i,
aDIz,iz,
aDyavaso,so,
aDyAs,As,
aDyutTA,sTA,
aDyudDf,hf,
aDyupekz,Ikz,
anukamp,kamp,
anukA,kA,
anukfp,kfp,
anukrand,krand,
anugam,gam,
anucakz,cakz,
anuci,ci,2
anucCid,Cid,
anucCo,Co,
anujan,jan,
anujalp,jalp,
anudfS,dfS,
anuDanv,Danv,
anuDI,DI,
anuDvaMs,DvaMs,
anunad,nad,
anunam,nam,
anupariRI,nI,
anuparI,i,
anupare,i,
anuparye,i,
anupaS,paS,
anupA,pA,2
anupU,pU,
anupraRud,nud,
anupratizWA,sTA,
anupraT,praT,
anuprapA,pA,1
anuprAR,an,
anuprAp,Ap,
anuprAs,as,
anupre,i,
anuprekz,Ikz,
anuprez,iz,
anuproh,Uh,
anubrU,brU,
anuman,man,
anuyat,yat,
anuyam,yam,
anuraYj,raYj,
anuram,ram,
anuriz,riz,
anurI,rI,
anuruc,ruc,
anuruD,ruD,
anuruh,ruh,
anulip,lip,
anuvad,vad,
anuvap,vap,2
anuvazawkf,kf,
anuvA,vA,
anuvikram,kram,
anuvid,vid,1
anuvid,vid,3
anuvinad,nad,
anuvilok,lok,
anuvivft,vft,
anuvizic,sic,
anuvizWA,sTA,
anuvizyand,syand,
anuvI,i,
anuvIkz,Ikz,
anuvf,vf,
anuvft,vft,
anuvezw,vezw,
anuvyaD,vyaD,
anuvyavagA,gA,1
anuvyave,i,
anuSak,Sak,
anuSI,SI,1
anuSuc,Suc,1
anuSraT,SraT,
anuSru,Sru,
anuzac,sac,
anuzaYj,saYj,
anuzic,sic,
anuziD,siD,
anuzwu,stu,
anuzwuB,stuB,
anuzWA,sTA,
anuzyand,syand,
anusaMKyA,KyA,
anusaMcar,car,
anusaMraB,raB,
anusaMsf,sf,
anusaMsTA,sTA,
anusamAp,Ap,
anusamAraB,raB,
anusami,i,
anusamprAp,Ap,
anusf,sf,
anusfj,sfj,
anusmf,smf,
anuhA,hA,2
anuhf,hf,
anUkz,ukz,
anUjji,ji,
anUd,ud,
anUde,i,
anUdDA,hA,
anUdDf,hf,
anUnnI,nI,
anUpaDA,DA,
anUpasTA,sTA,
antaraya,i,
antarADA,DA,
antarIkf,kf,
antarupAtI,i,
antarDA,DA,
anvat,at,
anvatI,i,
anvaBizic,sic,
anvavArj,arj,
anvavAs,as,
anvave,i,
anvavekz,Ikz,
anvaS,aS,1
anvAkram,kram,
anvAdA,dA,1
anvADA,DA,
anvABaj,Baj,
anvAhiRq,hiRq,
anviz,iz,3
anvf,f,
anvfD,fD,
anve,i,
apakft,kft,2
apakfz,kfz,
apakF,kF,1
apaguh,guh,
apacit,cit,
apacCad,Cad,
apacCid,Cid,
apacyu,cyu,
apanilI,lI,
apapare,i,
apapruT,pruT,
apapre,i,
apabAD,bAD,
apaBaj,Baj,
apamfj,mfj,
apame,me,
apayuj,yuj,
apalap,lap,
apavad,vad,
apavic,vic,
apavf,vf,1
apavfj,vfj,
apavft,vft,
apavye,vye,
apaSvas,Svas,
apasac,sac,
apaspf,spf,
apahA,hA,2
apahA,hA,3
apahnu,hnu,
apAdA,dA,1
apAr,f,
apArC,fC,
apAvft,vft,
apASri,Sri,
apAhf,hf,
apiGas,Gas,
apibanD,banD,
apimfz,mfz,
apivat,vat,
apivf,vf,1
apivye,vye,
apiSF,SF,
apizWA,sTA,
apisfj,sfj,
apihve,hve,
ape,i,
apocCad,Cad,
apotkfz,kfz,
apodi,i,
aporRu,UrRu,
apoh,Uh,
apyas,as,2
aBikxp,kxp,
aBikzip,kzip,
aBigAh,gAh,
aBicCad,Cad,
aBijan,jan,
aBitan,tan,
aBitF,tF,
aBiduh,duh,
aBiDanv,Danv,
aBiDA,DA,
aBiDI,DI,
aBinakz,nakz,
aBinard,nard,
aBiniDA,DA,
aBinirRud,nud,
aBinirmi,mi,
aBinizad,sad,
aBinI,i,
aBinu,nu,3
aBinu,nu,4
aBiparizvaYj,svaYj,
aBiparihf,hf,
aBipare,i,
aBiparyAvft,vft,
aBiparye,i,
aBipale,i,
aBipA,pA,2
aBipiS,piS,
aBipyE,pyE,
aBiprakram,kram,
aBipracyu,cyu,
aBiprajan,jan,
aBipraRakz,nakz,
aBipraRad,nad,
aBipraRam,nam,
aBipraRI,nI,
aBipraRu,nu,
aBipratipad,pad,
aBipratyave,i,
aBipratye,i,
aBipraT,praT,
aBipradru,dru,2
aBiprabuD,buD,
aBipraman,man,
aBipramand,mand,1
aBipravft,vft,
aBiprasf,sf,
aBiprAR,an,
aBiprAp,Ap,
aBiprArc,arc,
aBiprArT,arT,
aBiprAS,aS,
aBiprAs,as,
aBipre,i,
aBiprekz,Ikz,
aBiprer,Ir,
aBiprez,iz,
aBiBuj,Buj,3
aBimantr,mantr,
aBimand,mand,1
aBimuc,muc,
aBimf,mf,
aBimfkz,mfkz,
aBimfS,mfS,
aBiyaj,yaj,
aBiyuj,yuj,
aBirakz,rakz,
aBiraYj,raYj,
aBiraB,raB,
aBiruc,ruc,
aBilaB,laB,
aBivad,vad,
aBivand,vand,
aBivaS,vaS,
aBivicar,car,
aBivij,vij,
aBivitan,tan,
aBivid,vid,3
aBiviBaj,Baj,
aBiviruc,ruc,
aBivivas,vas,2
aBivizaYj,saYj,
aBivizWA,sTA,
aBivizyand,syand,
aBivisfj,sfj,
aBivI,i,
aBivIkz,Ikz,
aBivft,vft,
aBivfD,vfD,
aBivfz,vfz,
aBivyaD,vyaD,
aBivye,vye,
aBiSaNk,SaNk,
aBiSap,Sap,
aBiSI,SI,3
aBiSuB,SuB,
aBiScut,Scut,
aBizac,sac,
aBizaYj,saYj,
aBizad,sad,
aBizah,sah,
aBizic,sic,
aBiziv,siv,
aBizu,su,
aBizU,sU,
aBizUd,sUd,
aBizo,so,
aBizwan,stan,
aBizwamB,stamB,
aBizwu,stu,
aBizwuB,stuB,
aBizWA,sTA,
aBizyand,syand,
aBizvaYj,svaYj,
aBisaMgam,gam,
aBisaMci,ci,1
aBisaMnah,nah,
aBisaMnu,nu,4
aBisaMraB,raB,
aBisaMvas,vas,4
aBisaMvas,vas,5
aBisaMvid,vid,3
aBisaMviS,viS,
aBisaMvIkz,Ikz,
aBisaMvft,vft,
aBisaMSri,Sri,
aBisaMskf,kf,1
aBisaMsvaYj,svaYj,
aBisatkf,kf,
aBisap,sap,
aBisamApad,pad,
aBisamf,f,
aBisame,i,
aBisamprekz,Ikz,
aBihan,han,
aBihary,hary,
aBihiNkf,kf,
aBI,i,
aBIkz,Ikz,
aByaj,aj,
aByaYj,aYj,
aByativad,vad,
aByatI,i,
aByanuvad,vad,
aByapaSri,Sri,
aByapAn,an,
aByam,am,
aByarc,arc,
aByart,art,
aByarT,arT,
aByavanij,nij,
aByavavft,vft,
aByavAs,as,
aByave,i,
aByavekz,Ikz,
aByaS,aS,1
aByas,as,2
aByAj,aj,
aByAtan,tan,
aByAdA,dA,1
aByAp,Ap,
aByAyam,yam,
aByAyu,yu,2
aByAraB,raB,
aByAviS,viS,
aByAvft,vft,
aByAhan,han,
aByukz,ukz,1
aByutkram,kram,
aByutTA,sTA,
aByudIkz,Ikz,
aByude,i,
aByudDA,hA,
aByudDf,hf,
aByupaDA,DA,
aByupapad,pad,
aByupAvft,vft,
aByupe,i,
aByupekz,Ikz,
aByUrRu,UrRu,
aByUh,Uh,2
aByfYj,fYj,
aBye,i,
avakAS,kAS,
avakfz,kfz,
avakF,kF,
avakrI,krI,
avakrIq,krIq,
avagam,gam,
avagF,gF,
avacakz,cakz,
avacCad,Cad,
avacCid,Cid,
avacCo,Co,
avajfmB,jfmB,
avatan,tan,
avatF,tF,
avadih,dih,
avaduh,duh,
avado,do,
avaDA,DA,
avaDU,DU,
avaDvaMs,DvaMs,
avanam,nam,
avanij,nij,
avanu,nu,
avapad,pad,
avapaS,paS,
avaplu,plu,
avabanD,banD,
avabAD,bAD,
avabuD,buD,
avaBAs,BAs,
avaBf,Bf,
avaman,man,
avamuc,muc,
avamfj,mfj,
avayaj,yaj,
avaruD,ruD,
avaruh,ruh,
avalamb,lamb,
avalip,lip,
avalih,lih,
avalI,lI,
avalup,lup,
avalok,lok,
avaSI,SI,
avaSfD,SfD,
avazwamB,stamB,
avazvan,svan,
avasaYj,saYj,
avasad,sad,
avasfj,sfj,
avaskF,kF,
avastF,stF,
avasTA,sTA,
avasmi,smi,
avasyand,syand,
avasraMs,sraMs,
avahan,han,
avahf,hf,
avahve,hve,
avAloc,loc,
ave,i,
avekz,Ikz,
aSraddaDAna,DA,
Akac,kac,
Akamp,kamp,
AkA,kA,
AkANkz,kANkz,
AkU,kU,
Akf,kf,
Akrand,krand,
Akram,kram,
AkrIq,krIq,
Akzi,kzi,
AKAd,KAd,
AKid,Kid,
AKyA,KyA,
Agam,gam,
Agur,gur,
AgE,gE,
AgranT,granT,
Agrah,grah,
AGuz,Guz,
AGrA,GrA,
Ac,ac,
Acakz,cakz,
Aci,ci,1
Acit,cit,
AcCad,Cad,
AcCid,Cid,
AcCfd,Cfd,
AcCo,Co,
Acyu,cyu,
Aj,aj,
Ajan,jan,
AjIv,jIv,
AYc,aYc,
AYj,aYj,
Aqval,wval,
AtaMs,taMs,
Atan,tan,
Atam,tam,
Atfd,tfd,
Atfp,tfp,
AtF,tF,
AdaG,daG,
AdaB,daB,
AdA,dA,1
AdA,dA,4
AdiS,diS,
AdIp,dIp,
Adu,du,1
Aduh,duh,
Adf,df,
AdfS,dfS,
AdF,dF,
AdE,dE,
Ado,do,
Adyut,dyut,2
Adru,dru,1
ADA,DA,
ADAv,DAv,
ADI,DI,
ADu,Du,
ADU,DU,
ADf,Df,
ADfz,Dfz,
ADmA,DmA,
ADyE,DyE,
Anad,nad,
Anand,nand,
Anam,nam,
Anah,nah,
AnI,nI,
Anu,nu,4
Anft,nft,
Ap,Ap,
Apat,pat,1
Apad,pad,
Apan,pan,
ApaS,paS,
ApA,pA,1
ApiS,piS,
Apiz,piz,
ApU,pU,
ApUy,pUy,
Apf,pf,1
Apf,pf,2
Apfc,pfc,
ApF,pF,
ApyE,pyE,
ApraC,praC,
ApratI,i,
Aprayam,yam,
AprA,prA,
AprI,prI,
Apru,pru,
Aplu,plu,
AbanD,banD,
AbAD,bAD,
AbuD,buD,
Abfh,bfh,
AbrU,brU,
ABaj,Baj,
ABA,BA,
ABAz,BAz,
ABAs,BAs,
ABuj,Buj,1
ABUz,BUz,
ABf,Bf,
AmaT,maT,
Aman,man,
Amantr,mantr,
Amah,mah,
AmA,mA,2
AmI,mI,
AmIl,mIl,
AmIv,mIv,
Amuc,muc,
Amuz,muz,
Amfj,mfj,
Amfd,mfd,
AmfS,mfS,
Amfz,mfz,
AmnA,mnA,
Amyakz,myakz,
Amreq,mreq,
Ayaj,yaj,
Ayat,yat,
Ayam,yam,
Ayas,yas,
AyA,yA,
AyAc,yAc,
Ayu,yu,2
Ayuj,yuj,
AyuD,yuD,
Ayup,yup,
Arakz,rakz,
Araw,raw,
Arap,rap,
AraB,raB,
Aram,ram,
Aras,ras,1
ArAD,rAD,
Aric,ric,
AriP,riP,
AriS,riS,
Arih,rih,
ArI,rI,
Aru,ru,1
Aruc,ruc,
Aruj,ruj,
AruD,ruD,2
Aruh,ruh,
Alakz,lakz,
Alag,lag,
AlaB,laB,
Alamb,lamb,
Alaz,laz,
AliK,liK,
AliNg,liNg,
Alip,lip,
Alih,lih,
AlI,lI,
AluYc,luYc,
Aluq,luq,
Alup,lup,
AluB,luB,
AlU,lU,
Alok,lok,
Aloc,loc,
Avac,vac,
Avad,vad,
AvaD,vaD,
Avan,van,
Avap,vap,2
Avalg,valg,
Avas,vas,5
Avah,vah,
AvA,vA,
Avitan,tan,
Avid,vid,1
Avid,vid,3
AviBA,BA,
AviS,viS,
Avihan,han,
AvI,vI,
Avf,vf,1
Avf,vf,2
Avfj,vfj,
Avft,vft,
AvfD,vfD,
Avfz,vfz,
Avfh,vfh,
Ave,ve,
Ave,i,
Avezw,vezw,
AvyaD,vyaD,
Avye,vye,
Avraj,vraj,
AvraSc,vraSc,
AS,aS,
ASaMs,SaMs,
ASak,Sak,
ASaNk,SaNk,
ASAs,SAs,
ASi,Si,
ASI,SI,
ASuc,Suc,
ASuz,Suz,
ASyE,SyE,
ASri,Sri,
ASrI,SrI,
ASru,Sru,
ASlaT,SlaT,
ASliz,Sliz,
ASvas,Svas,
As,as,
Asac,sac,
AsaYj,saYj,
Asad,sad,
Asan,san,
Asi,si,
Asic,sic,
Asiv,siv,
Asu,su,3
AsU,sU,
Asf,sf,
Asfj,sfj,
Asev,sev,
