root,hom,class,voice
aMS,,10,para
aMh,1,1,atma
aMh,1,10,para
ak,,1,para
akz,,1,atma
akz,,5,atma
ag,,1,para
aG,,10,para
aGaya,,denom,para
aGAya,,denom,para
aNk,,1,atma
aNk,,10,para
aNkAya,,denom,atma
aNkuraya,,denom,para
aNkurAya,,denom,atma
aNK,,10,para
aNg,,1,para
aNg,,10,para
aNG,,1,atma
ac,1,1,para
aj,,1,para
ajirAya,,denom,atma
aYc,1,1,para
aYc,1,10,para
aYj,,7,para
aw,,1,para
awAya,,denom,atma
aww,,1,atma
aww,,10,para
awwAya,,denom,atma
aW,,1,para
aW,,1,atma
aq,1,1,para
aqq,,1,para
aR,,1,para
aR,,4,atma
aRW,,1,atma
aRqarAya,,denom,atma
at,2,1,para
atirAjaya,,denom,para
ad,1,2,para
aDaraya,,denom,para
aDvarIya,,denom,para
an,2,2,para
analAya,,denom,atma
anukUlaya,,denom,para
ant,,1,para
antaya,,denom,para
and,,1,para
andolaya,,denom,para
anD,,10,para
annIya,,denom,para
anyaTaya,,denom,para
aparokzaya,,denom,para
apuvAya,,denom,atma
apUpIya,2,denom,para
apsarAya,,denom,atma
aBimuKaya,,denom,para
aBr,,1,para
aBrAya,,denom,atma
amalaya,,denom,para
amitraya,,denom,para
amitrAya,,denom,atma
amftAya,,denom,atma
amb,,1,para
amb,,1,atma
arajAya,,denom,atma
arahAya,,denom,atma
arAtIya,,denom,para
aruRaya,,denom,para
arkaya,,denom,para
arG,,1,para
arc,1,1,para
arj,,1,para
arT,,10,atma
arT,,1,atma
arTApaya,,denom,para
ard,,6,para
ard,,1,para
arDaya,,denom,para
arb,,1,para
arv,,1,para
arh,,1,para
al,,1,para
alIkAya,,denom,atma
alpaya,,denom,para
av,,1,para
aSanAya,,denom,para
aSanIya,,denom,para
aSAya,,denom,atma
aSAya,,denom,atma
aSezaya,,denom,para
aSnItapibatIya,,denom,para
aSvaya,,denom,atma
aSvAya,,denom,para
aSvIya,1,denom,para
az,,1,para
as,1,2,para
as,2,4,para
astrAya,,denom,atma
asmaya,,denom,para
asrAya,,denom,atma
ah,2,5,para
Akulaya,,denom,para
AKyAnaya,,denom,para
AtapAya,,denom,atma
AnAyAya,,denom,atma
Andolaya,,denom,para
Ap,1,5,para
Ar,1,4,para
ArAgaya,,denom,para
Ardraya,,denom,para
Avilaya,,denom,para
As,2,2,atma
AhAraya,,denom,para
AhvAnaya,,denom,para
i,5,2,para
iK,,1,para
iK,,1,para
iNK,,1,para
iNK,,1,para
iNg,,1,para
iw,,1,para
ind,,1,para
indraya,,denom,atma
inD,,7,atma
inv,,6,para
inv,,8,para
inv,,9,para
ir,,6,para
il,,6,para
il,,10,para
iz,1,1,para
iz,1,4,para
iz,3,6,para
izaRaya,,denom,atma
izaya,,denom,atma
Ikz,,1,atma
IK,,1,para
INK,,1,para
Ij,,1,para
IYj,,1,para
Iq,1,2,atma
Int,,1,para
Ir,,2,atma
Irkzy,,1,para
Irzy,,1,para
IS,1,2,atma
Iz,1,1,atma
Ih,,1,atma
u,4,5,para
u,4,2,atma
u,4,1,atma
ukz,1,1,para
uK,,1,para
uNK,,6,para
uc,,4,para
uC,1,1,para
uC,2,1,para
ujJ,,6,para
uYC,,1,para
uYC,,6,para
uW,,1,para
utkacaya,,denom,para
utkaya,,denom,para
utkAya,,denom,atma
utkorakaya,,denom,para
utkoSaya,,denom,para
uttaMsaya,,denom,para
uttaraMgaya,,denom,para
uttaraya,,denom,para
uttaralAya,,denom,atma
utpuMsaya,,denom,para
utpucCaya,,denom,atma
utsukAya,,denom,atma
utsvapnAya,,denom,atma
ud,2,7,para
ud,2,6,para
udakIya,,denom,para
udaDIya,,denom,para
udaSraya,,denom,para
udAttaya,,denom,para
udAnaya,,denom,para
uddAmaya,,denom,para
udvelaya,,denom,para
uDras,1,9,para
uDras,2,10,para
und,2,7,para
und,2,6,para
unnidraya,,denom,para
unmanaya,,denom,para
unmanAya,,denom,atma
upasargaya,,denom,para
upahastaya,,denom,para
upozaya,,denom,para
ubj,,6,para
uB,,9,para
uB,,6,para
ulaq,,10,para
ullAGaya,,denom,para
uz,1,1,para
uz,1,9,para
uzRaya,,denom,para
uzmAya,,denom,atma
usrIya,,denom,para
uh,,1,para
UQaya,,denom,para
Unaya,,denom,para
Uy,,1,atma
UrRu,,2,para
Urd,,1,atma
UrDvAya,,denom,atma
Urv,,1,para
Uz,,1,para
UzarAya,,denom,atma
UzmAya,,denom,atma
Uh,1,1,para
Uh,2,1,para
f,4,1,para
f,4,3,para
f,4,5,para
fGAya,,denom,atma
fc,1,6,para
fC,,6,para
fj,,1,para
fYj,1,1,atma
fYj,2,6,para
fYj,2,4,para
fYj,2,7,atma
fR,,8,para
ftaya,,denom,atma
ftAya,,denom,para
fD,,6,para
fD,,2,para
