name,prefix_type
aMSI,cvi
akzilakzI,cvi
aKilI,cvi
agocarI,cvi
agraRI,cvi
agrataH,other
aNgArasAt,other
aNgI,cvi
aRU,cvi
atiTI,cvi
adarSanI,cvi
anuhuM,other
antarI,cvi
anDI,cvi
anyat,other
anyaTA,DAc
apasavyaM,other
apAtrI,cvi
apunar,other
aBinavI,cvi
aBipra,other
aBimuKI,cvi
aBisaMs,other
aByantarI,cvi
aByASI,cvi
amarI,cvi
amalI,cvi
amA,DAc
amiTyA,DAc
amftI,cvi
ayatnabAlavyajanI,cvi
araM,other
arU,cvi
alaM,other
alasI,cvi
alpI,cvi
avataMsI,cvi
avitaTI,cvi
aSakunI,cvi
aSokI,cvi
asO,other
asTirI,cvi
ahaM,other
AkulI,cvi
AcAryI,cvi
AtmI,cvi
ADI,cvi
ApARqurI,cvi
AmuKI,cvi
AraktI,cvi
ArdrI,cvi
AlohitI,cvi
AvarjanI,cvi
Avir,other
Aviz,other
AsanI,cvi
AharaRI,cvi
AhutI,cvi
inDani,other
iz,other
ISvarI,cvi
uccakzU,cvi
ucCezaRI,cvi
ut,other
uttaralI,cvi
uttAnI,cvi
uttAnIkf,other
unmanI,cvi
upakaraRI,cvi
upacitI,cvi
upanizat,other
upapra,other
upas,other
upasaMs,other
upahArI,cvi
upADyAyI,cvi
upAyanI,cvi
urarI,cvi
urI,cvi
uzRI,cvi
UnI,cvi
Uri,other
UrDvI,cvi
fjU,cvi
ekacittI,cvi
ekapakzI,cvi
ekAyanI,cvi
ekI,cvi
OzaDI,cvi
kakzI,cvi
kaWinI,cvi
kaWorI,cvi
kaRqI,cvi
kaTAvaSezI,cvi
kaTI,cvi
kadambakI,cvi
kadarTI,cvi
kapilI,cvi
kapiSI,cvi
karatalI,cvi
karadI,cvi
karasTI,cvi
karI,cvi
karRapUrI,cvi
karRAvataMsI,cvi
kalatrI,cvi
kaluzI,cvi
kalkI,cvi
kalpadrumI,cvi
kavalI,cvi
kazAyI,cvi
kAMsI,cvi
kAt,other
kAmakAraM,other
kAlI,cvi
kAzWI,cvi
kiMkarI,cvi
kimpuruzI,cvi
kukzigatI,cvi
kuwikuwI,cvi
kuwilI,cvi
kutsI,cvi
kuSalI,cvi
kUwI,cvi
kfcCrI,cvi
kftArTI,cvi
kfSI,cvi
kfzwamatI,cvi
kfzwasamI,cvi
kfzRI,cvi
kevAla,other
kevAsI,cvi
kozWI,cvi
krUrI,cvi
kroqI,cvi
kzamI,cvi
kzAmI,cvi
kzIrI,cvi
kzetrI,cvi
KaRqaSaH,other
KaRqaSo,other
KaRqI,cvi
KarI,cvi
KalI,cvi
KAw,other
gaRqUzI,cvi
girI,cvi
guRI,cvi
guptI,cvi
gurU,cvi
guluguDA,DAc
gfhI,cvi
go,other
granTilI,cvi
