L,betacode,index
4,A),1
4,A)N,2
92,W)=MOS,1
92,A)/SILLA,2
114,A)/XOS,1
114,E)GGU/S,2
120,A)/XNUMAI,1
120,A)/XOS,2
120,A)/GOS,3
128,E)GGU/S,1
431,A)/CWN,1
635,O)/SSE,1
635,O)/KTALLOS,2
1212,A)/KRON,1
1427,A)GKA/S,1
1427,A)GKA/LH,2
1427,?,3
1427,O)/GKOS,4
1459,A)/GKOS,1
1476,A)/GKISTRON,1
1691,A)/GGELOS,1
1691,A)/GGAROS,2
1927,A)/GW,1
1932,AI)/C,1
1932,AI)GO/S,2
2238,O)/GMOS,1
2240,A)GRO/S,1
2564,E)/TI,1
2564,A)NTI/,2
3575,E)/DW,1
4782,A)/NEMOS,1
5143,A)NAFH/,1
5386,A)/NIPPOS,1
7915.10,A)/NTA,1
7915.10,A)NTI/,2
8322.10,A)NTI/,1
8386,E)/NTERON,1
8464,A)/NQOS,1
8567,A)/LLOS,1
8567,A)/LGO-S,2
8567,E)/NIOI,3
8930.20,D,1
8930.30,A)FRO/S,1
8962.10,A)PO/,1
9129,A)PO/TISIS,1
10132,E)PI/,1
10890,KO/LPOS,1
11185.60,A)MFI/,1
13688.80,O)/MBROS,1
14105.10,*)AMITROXA/THS,1
14571,O)/MBROS,1
14600,O)/BRIMOS,1
14600,O)/MBRIMOS,2
14876,A)IZH/IOS,1
15171.10,A)/RA,1
15328,E)RE/THS,1
15328,E)RETMO/N,2
16370.10,O)RFANO/S,1
16483,A)/RXW,1
16938,A)I/W,1
16952,AU),1
16952,AU)TO/S,2
16952,AU)=,3
16952,AU)=QI,4
18613,O)/I+-S,1
19766,KA/MINOS,1
19823,DA/KRU,1
19869.80,I(/PPOS,1
20173,O)KTW/,1
20353,E)S-TI/,1
21322,A)/STRON,1
21322,A)STH/R,2
21382,O)STE/ON,1
21493.10,H(MA=S,1
21604,A)/U+PNOS,1
21660,E)GW/,1
21758,NUXQH/MERON,1
21811,E)/XI-S,1
21811,E)/XIDNA,2
21811,E)/GXELUS,3
21811,O)/FIS,4
21881,O)/FIS,1
21881,*PU/QWN,2
22295,*AI)GO/KERWS,1
22620,A)/GOS,1
23472,A)U+TMH/N,1
23472,?,2
24743,A)/FENOS,1
24743,A)FNEIO/S,2
25042,A)PO/KLIMA,1
25408,W)MO/S,1
25924,AI)E/S,1
25924,AI)W/N,2
26017,*)/ARHS,1
26146,H)RE/MA,1
26146,E)/RHMOS,2
26454,KORW/NH,1
27143,E)C,1
27516,W)KEANO/S,1
27521,W)KU/S,1
27521,W)/KISTOS,2
27851,H(=,1
27851,S1,2
27851,MAI,3
27851,H(=S,4
27851,TAI,5
28217,*)AFRODI/TH,1
28539,EI)=-MI,1
28539,I)/-MEN,2
28635,EI)/KW,1
28635,OI)/XOMAI,2
28789,I)XQU/S,1
28938,G,1
29258,AI)/QW,1
29258,I)QARO/S,2
29258,AI)QH/R,3
29258,*AI)/TNH,4
29304,E)L-E/FAS,1
29396,E)LA/W,1
29467,I)O/S,1
29516,I)O/-THS,1
29516,I(/MEROS,2
29613,I(ERO/S,1
29668.50,I)QA%26,1
29668.50,I)QAI,2
29668.50,I)QA-GENH/S,3
29668.50,I)QAI-GENH/S,4
29744,LIK,1
29744,U(MH=LIC,2
29744,LIKO,3
29744,?,4
29746,LIK,1
29746,U(MH=LIC,2
29746,LIKO,3
29746,?,4
30072,U(GRO/S,1
30072,U(GRO/THS,2
30072,U(GRAI/NW,3
30130,U(GI-H/S,1
30130,U(GI/EIA,2
30550,*)OZH/NH,1
31041,*B,1
31178,U(/STEROS,1
32059,U(/DWR,1
34067.50,U(PO/,1
35521.60,U(PE/R,1
35621,W)/PALOS,1
35647,U(POLAMBA/NW,1
35659,U(PO/LHYIS,1
37052,A)/MFW,1
37303,EU)RU/S,1
37303,EU)RU/NW,2
37465.10,O)L-OLUG-AI/A,1
37721,FOI=BOS,1
37727,H)W/S,1
37975.40,OU)=QAR,1
38037,O)RGA/W,1
38091,U(F-AI/NW,1
38092.40,E)/R-I-ON,1
38120,O)RQO/S,1
38410,O)/R-NU-MI,1
38410,E)R-E/-THS,2
38410,A)RO/-W,3
38660,A)/RKTOS,1
38800,O)RE/GW,1
38845,A)RGO/S,1
38845,A)/RGUROS,2
38849,O)RE/-GW,1
38965,A)LFEI=N,1
39001,E)/RSH,1
39001,A)/Y-ORROS,2
39001,PALI/N-ORSOS,3
39020,A)/RSHN,1
39168,OI)-N-O/S,1
39168,OI)=OS,2
40094,OI)=MOS,1
40094,OI)/MH,2
40107,AI)QO/S,1
40107,AI)=QOS,2
40112.20,E(/N,1
40112.20,OI(=OS,2
40119,AI)NO/S,1
40134,AI)=RA,1
40188,AI)E/S,1
40188,AI)W/N,2
40633,U(G-IE/S,1
40633,AU)G-H/,2
40633,E)RI-AUGH/S,3
41336.10,PO/QEN,1
41336.10,PW=S,2
41336.10,KO/QEN,3
41336.10,KW=S,4
41336.10,TI/S,5
41336.10,TI/,6
41598,KAXA/ZW,1
41598,KAGXA/ZW,2
42358,KENTE/W,1
42358,KESTO/S,2
42358,KE/STRON,3
42653.10,PO/TEROS,1
42653.10,KO/TEROS,2
42655.10,PO/STOS,1
42667,PO/STOS,1
42873,KE/DROS,1
42894.60,KO/TE,1
42894.60,PO/TE,2
42917,KANAYH/,1
43184,KE/NTRWN,1
43198,KO/NDOS,1
43198,KONDU/LOS,2
43348,KA/MPH,1
43396,KWPH/,1
43396,KEFALH/,2
43442,KH/POS,1
43442,KEI=POS,2
43442,KH/BOS,3
43756,KEN,1
43913,KA/MPTW,1
44398,KA/RUON,1
44398,KE/RAS,2
44398,KARKI/NOS,3
44661,KARKI/NOS,1
44711,KRO/KH,1
44711,KROKA/LH,2
45201,KA/RPASOS,1
45730,KA/LAMOS,1
45772,KA/LIC,1
46271,KALO/S,1
46728,KEWRE/W,1
46728,KA/SSA,2
46882,KASSI/TEROS,1
46883.10,KA/STWR,1
47893,*KAMBISQOLOI/,1
49386,KH/R,1
50405,KINU/RA,1
50470,KU/MBALON,1
51392.10,KOXW/NH,1
52094,KONTO/S,1
52241,KUFO/S,1
52241,KU/PTW,2
52267,*KWPH/N,1
52511,KU/MBH,1
53026,KAT',1
53026,E)COXH/N,2
53768,KO/KKU,1
53778,KWKU/W,1
53947,KU/PH,1
54067,KLE/MMUS,1
54067,XE/LUS,2
54067,XELW/NH,3
54148,KRAI/NW,1
54148,KRO/NOS,2
54777,KEI/RW,1
54777,KA/RSIS,2
55021,KOLOSSO/S,1
55021,KOLOK,2
55021,O/S,3
55567,KERA/NNUMI,1
55567,KI/RNHMI,2
55753,KE/NTRON,1
55763,KENO-DRO/MOS,1
56539,*KRO/NOS,1
57304,SKORPI/OS,1
57662,KRA/TOS,1
57913,KA/MHLOS,1
57921,KRE/AS,1
57979,KRIO/S,1
58088,PRI/AMAI,1
58088,PE/RNHMI,2
58231,KO/TOS,1
58298,KRW/ZW,1
58298,KRA/ZW,2
58298,KRAGGH/,3
58542,KLA/ZW,1
58681,PNEU/MWN,1
58681,PLEU/MWN,2
58916,KTEI/NW,1
58916,KAI/NW,2
58916,CAI/NW,3
58916,SI/NOMAI,4
58916,CI/NOMAI,5
58997,KNE/FAS,1
59035,XQW/N,1
59036,XAMAI/,1
59036,XQAMALO/S,2
59068.10,XAMA=-ZE,1
59068.10,XAMA/-QEN,2
59102,XQO/NIOS,1
59266,KTA/OMAI,1
59272,KTI/ZW,1
59376,FQI/-NW,1
59376,FQI/-SI-S,2
59439,FQI-TO/-S,1
59567,KRAIPNO/S,1
59877,CU/W,1
59877,CE/W,2
59877,CE/VW,3
59877,CUSTO/S,4
59877,CESTO/S,5
60043,*)OCUDRAKOI,1
60128,KOU=FOS,1
60158,CURO/N,1
60596,CU/W,1
60596,CURO/N,2
60691,XA/OS,1
60884,SKA/ZW,1
61265,XAI/NW,1
61265,XANW=,2
61265,XW/NNUMI,3
61355,E)SXA/RA,1
61646,XALINO/S,1
61905,KH=DOS,1
62099,XWLO/S,1
63295,KE/NTAUROS,1
63295,KENQARVO-S,2
63409,BA/SK-W,1
63409,BAI/NW,2
63976,DELFO/S,1
64493,BI/BHMI,1
64493,E)/BHN,2
65067,GH=RUS,1
65883,KEU/QW,1
66013,BARU/S,1
66808,GHRU/W,1
66808,GLW=SSA,2
66884.64,BOU=S,1
66884.64,GAI=A,2
66884.64,GH=,3
68428,GUNH/,1
68437,KLW/QW,1
68546,GRA/W,1
69209,GE,1
69433,FO/NOS,1
69640,QERMO/S,1
69640,QE/RMH,2
70283,TE,1
70283,TE,2
70365,KU/KLOS,1
71131,TE/SSARES,1
71131,TE/TTARES,2
71131,PI/SURES,3
71236.10,TE/TRAXA,1
71353,TE/TARTOS,1
71370,TETRAI+KO/S,1
71479,TESSARA/KONTA,1
71661,*SANDRO-KUPTOS,1
71661,*SANDRO-KOTTOS,2
72171,KI/W,1
72171,KI,2
72173,PE/LOMAI,1
72173,A)MFI/-POLO-S,2
72173,A)NA-TOLH/,3
72546,PE/LMA,1
72587,KE/LLW,1
72587,O)KE/LLW,2
72587,KE/LHS,3
73035,TI/W,1
73035,?,2
73366,TI/NOMAI,1
73366,TINA/,2
73366,TI/W,3
73366,TI/SIS,4
73366,POINH/,5
74573,SPEU/DW,1
74573,SPOUDA/ZW,2
75314,A)POKLI/MATA,1
75751,SKA/ZW,1
75839,SKIA/,1
75907,SXI/ZW,1
75907,SXI/DH,2
76631,GASTH/R,1
76735,GI/GNOMAI,1
76961,GENETH/R,1
76961,GENE/TEIRA,2
77209,GAMFHLAI/,1
77636,GE/RWN,1
77665,GH=RAS,1
77689,GH=RAS,1
78427,E)GEI/RW,1
78564,-GETOS,1
78754,GNH/SIOS,1
78832,GO/NU,1
78925,DIA/METRON,1
79309,DI/DUMOI,1
80017,GEU/OMAI,1
80091,ZUGO/N,1
80154,GH=RUS,1
80177,GENNAI=OS,1
80318,GNOI/HS,1
80318,GNW=-QI,2
80374,GNWSTH/R,1
80523,BIA/W,1
80533,BI/A,1
80638,BIO/S,1
80785,FA/OS,1
80785,FW=S,2
80849,*ZEU/S,1
81612,*TA/CILA,1
81630,TE/KTWN,1
81797.10,TO/TE,1
81797.10,TO/QEN,2
82052.10,O(,1
82052.10,H(,2
82052.10,TO/,3
82220,TO/NOS,1
82226,TA/NOMAI,1
82226,TEI/NW,2
82286,TANU-,1
83313,TE/RHN,1
83406,A)/TRAKTOS,1
83764,TE/TTA,1
83837,TO/NOS,1
84730,TAU=ROS,1
84753,STI/ZW,1
84902,TE/TRAC,1
85879,*TUD-EU/-S,1
85921,TU/P-T-W,1
85921,TU/MPANON,2
86105,TLH=-NAI,1
86723,TE/RPW,1
86774,TE/RSOMAI,1
87286,*TOCO/THS,1
87332.20,ME/N,1
87332.20,MH/N,2
87337,SE/BETAI,1
87466.20,TRIS-KAI/-DEKA,1
87466.20,TREI=S-KAI/-DEKA,2
87510,TRE/W,1
87514,*FEREKU/DHS,1
87572,TREI=S,1
87640,TRI/-GWNON,1
87972,*TRI/POLIS,1
88580,TRI/TOS,1
88580,*TRI/TWN,2
88580,TRITO-GENH/S,3
88926.10,TOI,1
88987,TUK,1
88987,TUX,2
89231,DA/KNW,1
89306,DASU/S,1
89306,BARU/S,2
89342,DECIO/S,1
89565,DE/XOMAI,1
89571,DE/NDRO-N,1
89786,O)DO/NT,1
90246,DA/MNHMI,1
90246,DMW/S,2
90247.40,DW=,1
90248,DES-PO/THS,1
90249,DO/MOS,1
91063.10,DE/KA,1
91129,DEI=,1
91212,DI/DWMI,1
91227.70,DWTH/R,1
91227.70,DOTH/R,2
91425,DE/W,1
91425,DI/DHMI,2
91465,DH=MA,1
91465,DIA/-DHMA,2
91465,DEMNON,3
91465,KRH/-DEMNON,4
91702,DO/RU,1
91702,DRU=S,2
91851,DWK,1
91851,E)/-DWK-A,2
91851,DE/-DWK-A,3
92231.60,*ZEU/S,1
92231.60,?,2
92239,DIVO,1
92239,E)N-DIOS,2
92268,DIVES,1
92268,EU)DIE/STEROS,2
92268,EU)DIEINO/S,3
92268,EU)DIESNO/S,4
92382.85,DI=OS,1
92382.85,DIVIOS,2
92472,DEI/KNUMI,1
92597,DI/KH,1
92642,QIGGA/NW,1
92642,E)/-QIG-ON,2
92642,TEI=XOS,3
92642,TOI=XOS,4
92645,DI/EMAI,1
92645,DI/NH,2
92645,DINEU/W,3
92645,DI=NOS,4
92646,DE/ATO,1
92646,DE/ELOS,2
92646,DH=LOS,3
92763,DHNA/RION,1
92977,DULIXO/S,1
93281,DU/W,1
93281,DU/NW,2
93281,DEU/OMAI,3
93282,DAI/W,1
93282,DAVIW,2
93282,DU/H,3
94173,DUS-MENH/S,1
94676.10,DUS-,1
94717,DORUFORI/A,1
94848,A)ME/LGESQAI,1
94852,QUGA/THR,1
95216,DE/KANOS,1
95229,DE/RMA,1
95263,DE/RKOMAI,1
95263,DE/DORKA,2
95263,E)/DRAKON,3
95315,DRA,1
95315,DRAK,2
95315,U(PO/DRA,3
95496,DE/RW,1
95496,DAI/RW,2
96504,DAH/R,1
97464,DUTO/N,1
97543,E)/-DRAM-ON,1
97543,DE/-DROM-A,2
97543,DRO/MOS,3
97550,DRAXMH/,1
97755,DI-DRA/-SKW,1
97755,DRA=NAI,2
98000,E)/DRAQON,1
98101.20,DU/O,1
98101.20,DU/W,2
98101.20,DI,3
98101.20,*DIVO/S,4
98138.60,DOI/OS,1
98210,DW/-DEKA,1
98312,QU/RA,1
98958,DI/S,1
98962,O)-DU/S-ATO,1
100554,QEV,1
100554,QE/W,2
100554,QEU/SOMAI,3
100554,QOO/S,4
100607,QE-,1
100607,QH-,2
100607,TI/QHMI,3
100616,QH/KH,1
100724,QETH/R,1
100876,QHMON,1
100876,EU)-QH/MWN,2
100876,QAMA/,3
100876,QWMO/S,4
101481,QU/W,1
101481,QU/NW,2
101481,QUMO/S,3
101815,QRO/NOS,1
101815,QRA=-NOS,2
101815,?,3
101933,QA/RSOS,1
101933,QARSI/W,2
102003,QH/-SASQAI,1
102003,GALA-QHNO/S,2
102003,QH-LH/,3
102621.20,NH-,1
102773,NU/C,1
102941,O)/NUC,1
102941,O)-NUX,2
103696,NE/PODES,1
103696,A)NEYIO/S,2
103761,NE/FOS,1
103761,NEFE/LH,2
103825,NE/MW,1
103825,NE/MOS,2
103825,NO/MOS,3
104483.10,NE/OS,1
104483.10,NE/VOS,2
104741,E)NNE/A,1
104741,E)-NVEA,2
104741,E)-NEVA,3
104760,NEK-RO/S,1
104827,NW=I+,1
104827,NW/,2
104828,NE/,1
104828,S1,2
104828,MAI,3
104828,NA-,4
104828,S1,5
104828,I/W,6
104828,NO/S-TOS,7
105836,O)/-NOMA,1
106312.10,E)-NI/,1
108251,NI/ZW,1
108251,NIG-ZW,2
108313,KALLI/PUGOS,1
108659,O)/-NEIDOS,1
111301,TAPEI/NWMA,1
111695,*NELKU/NDA,1
111758.30,NU/,1
111758.30,NU=N,2
111813,A)-NHR,1
111813,-NER,2
112620,NAU=S,1
112620,NAU/-THS,2
113414,PE/SSW,1
113414,PEK-,2
113414,W,3
113507,PH/GNUMI,1
113508,PHGO/S,1
114152,PE/MPTOS,1
114155,PE/NTE,1
114155,PE/MPE,2
114203,PENTH/KONTA,1
114645,E)PANAFORA/,1
114698,PE/TOMAI,1
114698,PI/-PTW,2
114860,PTERO/N,1
114860,PETERO/N,2
115019,PO/SIS,1
115069,PO/TNIA,1
115152,PA/TOS,1
115200,POU/S,1
115200,POD-O/S,2
115234,PE/DON,1
116048,PE/RA%26,1
116048,PE/RA%26N,2
116723,PE/LEKUS,1
116723,PE/LEKKON,2
117009.55,PERI/,1
118542,PERO/OIDE,1
119423,PE/RUTI,1
119423,PE/RUSI,2
119581,PE/RDW,1
120075,FA/LKHS,1
120245,PELITNO/S,1
120245,POLIO/S,2
120341,PHLO/S,1
120781,PE/OS,1
120781,PE/SOS,2
120795,PE/-PW-KA,1
120795,PW/-NW,2
120795,PI/NW,3
120935,PA/-OMAI,1
120935,PE/-PA-MAI,2
120935,PW=-N,3
121436,PALA/MH,1
121862,PARQE/NOS,1
122887,PARQE/NOS,1
123991,PATH/R,1
124172,PA/TRWS,1
124422,POIKI/LOS,1
124541,PTI/SSW,1
124938,PI/WN,1
124938,PI/VWN,2
124938,?,3
124952,PI=AR,1
125502,PAI=S,1
