form,root,pos,modification
aMSayitvA,aMSa,gerund,
aktvA,aYc,gerund,
aktvA,aYj,gerund,
agadyitvA,agada,gerund,
aGAyitvA,aGa,gerund,
aNkayitvA,aNka,gerund,
aNKayitvA,aNKa,gerund,
aNgitvA,aNg,gerund,
ajitvA,aj,gerund,
ajirAyitvA,ajira,gerund,
aYcayitvA,aYc,gerund,caus
aYcitvA,aYc,gerund,
aYjayitvA,aYj,gerund,caus
aYjitvA,aYj,gerund,
awitvA,aw,gerund,
atitvA,at,gerund,
attvA,ad#1,gerund,
aDvarIyitvA,aDvara,gerund,
aDvaryitvA,aDvara,gerund,
anitvA,an#2,gerund,
aninizitvA,an#2,gerund,desid
anDayitvA,anDa,gerund,
apsarAyitvA,apsaras,gerund,
aBrAyitvA,aBra,gerund,
amitrayitvA,amitra,gerund,
amitvA,am,gerund,
aririzitvA,f,gerund,desid
arcayitvA,fc#1,gerund,caus
arcicizitvA,fc#1,gerund,desid
arcitvA,fc#1,gerund,
arjayitvA,fj,gerund,caus
arjitvA,fj,gerund,
arTayitvA,arT,gerund,
arditvA,ard,gerund,
arDayitvA,fD,gerund,caus
arDitvA,fD,gerund,
arpayitvA,f,gerund,caus
arhayitvA,arh,gerund,caus
arhitvA,arh,gerund,
avitvA,av,gerund,
aSanAyitvA,aSana#2,gerund,
aSanIyitvA,aSana#2,gerund,
aSitvA,aS#1,gerund,
aSitvA,aS#2,gerund,
aSvasyitvA,aSva,gerund,
aSvAyitvA,aSva,gerund,
azwvA,aS#1,gerund,
asitvA,as#2,gerund,
asUyitvA,asUya,gerund,
astvA,as#2,gerund,
AkarRayitvA,AkarRa,gerund,
AkulayitvA,Akula,gerund,
AdayitvA,ad#1,gerund,caus
AnayitvA,an#2,gerund,caus
ApayitvA,Ap,gerund,caus
AptvA,Ap,gerund,
AmayitvA,am,gerund,caus
AvayitvA,av,gerund,caus
AvilayitvA,Avila,gerund,
ASayitvA,aS#2,gerund,caus
AsayitvA,As#2,gerund,caus
AsayitvA,as#2,gerund,caus
AsitvA,As#2,gerund,
iNgayitvA,iNg,gerund,caus
iNgitvA,iNg,gerund,
itvA,i,gerund,
idDvA,inD,gerund,
intvA,in,gerund,
inditvA,ind,gerund,
invitvA,inv,gerund,
irasyitvA,iras,gerund,
ilayitvA,il,gerund,caus
iltvA,il,gerund,
izayitvA,iz#1,gerund,caus
izayitvA,iz#2,gerund,caus
izuDyitvA,izuDi,gerund,
izwvA,iz#1,gerund,
izwvA,yaj#1,gerund,
IkzitvA,Ikz,gerund,
INKayitvA,INK,gerund,caus
INKitvA,INK,gerund,
IqitvA,Iq,gerund,
IpsitvA,Ap,gerund,desid
IrayitvA,Ir,gerund,caus
IritvA,Ir,gerund,
IrzitvA,Irz,gerund,
ISitvA,IS#1,gerund,
IzitvA,Iz,gerund,
IhitvA,Ih,gerund,
uktvA,vac,gerund,
ukzitvA,ukz,gerund,
ujJitvA,ujJ,gerund,
uYCitvA,uYC,gerund,
utkaRWayitvA,utkaRW,gerund,caus
utkaRWitvA,utkaRW,gerund,
uttvA,und,gerund,
utvA,vA#3,gerund,
udakIyitvA,udaka,gerund,
udanyitvA,udan,gerund,
uditvA,vad,gerund,
unttvA,und,gerund,
unmanAyitvA,unmanas,gerund,
uptvA,vap#1,gerund,
uptvA,vap#2,gerund,
ubDvA,umB,gerund,
umBitvA,umB,gerund,
urasyitvA,uras,gerund,
uruzwvA,uruz,gerund,
uzasyitvA,uzas,gerund,
uzitvA,vas#1,gerund,
uzitvA,vas#4,gerund,
uzwvA,uz,gerund,
uzwvA,vas#1,gerund,
uzwvA,vas#4,gerund,
UQvA,Uh,gerund,
UQvA,vah#1,gerund,
UtvA,vA#3,gerund,
UrjayitvA,Urj#1,gerund,caus
UzmAyitvA,Uzman,gerund,
UhitvA,Uh,gerund,
ftvA,f,gerund,
fdDvA,fD,gerund,
fzwvA,fz,gerund,
ejayitvA,ej,gerund,caus
ejitvA,ej,gerund,
eDayitvA,eD,gerund,caus
eDitvA,eD,gerund,
elayitvA,il,gerund,caus
ezitvA,iz#1,gerund,
ezitvA,iz#2,gerund,
ocitvA,uc,gerund,
kaRqayitvA,kaRq,gerund,
kaRqUyitvA,kaRqu,gerund,
kaRvAyitvA,kaRva,gerund,
katTitvA,katT,gerund,
kaTayitvA,kaT,gerund,
kadarTayitvA,kadarTa,gerund,
kampayitvA,kamp,gerund,caus
kampitvA,kamp,gerund,
karuRAyitvA,karuRa,gerund,
karRayitvA,karRa,gerund,
kartrIyitvA,kartf,gerund,
karpitvA,kfp,gerund,
karSayitvA,kfS,gerund,caus
karSitvA,kfS,gerund,
karzayitvA,kfz,gerund,caus
kalaNkayitvA,kalaNka,gerund,
kalayitvA,kal,gerund,
kalahAyitvA,kalaha,gerund,
kaluzayitvA,kaluza,gerund,
kaluzAyitvA,kaluza,gerund,
kalpayitvA,kxp,gerund,caus
kavalayitvA,kavala,gerund,
kavIyitvA,kavi,gerund,
kazitvA,kaz,gerund,
kazwAyitvA,kazwa,gerund,
kasitvA,kas,gerund,
kANkzitvA,kANkz,gerund,
kAmayitvA,kam,gerund,caus
kArayitvA,kf#1,gerund,caus
kAlayitvA,kal,gerund,caus
kASayitvA,kAS,gerund,caus
kASitvA,kAS,gerund,
kAzayitvA,kaz,gerund,caus
kAsayitvA,kas,gerund,caus
kIrtayitvA,kIrt,gerund,
kIrtvA,kF,gerund,
kucitvA,kuc,gerund,
kuYcayitvA,kuc,gerund,caus
kuYcitvA,kuc,gerund,
kuwwayitvA,kuwwa,gerund,
kuwwvA,kuw,gerund,
kuRWitvA,kuRW,gerund,
kuRqayitvA,kuRq,gerund,caus
kuRqitvA,kuRq,gerund,
kutsayitvA,kuts,gerund,
kutsitvA,kuts,gerund,
kunTitvA,kunT,gerund,
kupitvA,kup,gerund,
kultvA,kul,gerund,
