stem,root,class,mode,voice,modification
aMSanIya,aMS,,fut,pass,
aMSayat,aMS,10,pres,para,
aMSayamAna,aMS,10,pres,atma,
aMSayitavya,aMS,,fut,pass,
aMSayizyat,aMS,,fut,para,
aMSayizyamAna,aMS,,fut,atma,
aMSitavat,aMS,,past,active,
aMSita,aMS,,past,pass,
aMSyamAna,aMS,,pres,pass,
aMSya,aMS,,fut,pass,
aktavat,aj,,past,active,
aktavat,aYc,,past,active,
aktavat,aYj,,past,active,
aktavya,aj,,fut,pass,
akta,aj,,past,pass,
akta,aYc,,past,pass,
akta,aYj,,past,pass,
aknavat,aYc,,past,active,
akna,aYc,,past,pass,
akzaRIya,akz,,fut,pass,
akzat,akz,1,pres,para,
akzamAna,akz,1,pres,atma,
akzitavya,akz,,fut,pass,
akzizyat,akz,,fut,para,
akzizyamAna,akz,,fut,atma,
akzyat,akz,,fut,para,
akzyat,aj,,fut,para,
akzyat,aS#1,,fut,para,
akzyat,aS#2,,fut,para,
akzyamAna,akz,,fut,atma,
akzyamAna,akz,,pres,pass,
akzyamAna,aj,,fut,atma,
akzyamAna,aS#1,,fut,atma,
akzyamAna,aS#2,,fut,atma,
akzya,akz,,fut,pass,
aGatavat,aGa#2,,past,active,
aGata,aGa#2,,past,pass,
aGaya,aGa#2,,fut,pass,
aGAnIya,aGa#2,,fut,pass,
aGAyat,aGa#2,10,pres,para,
aGAyamAna,aGa#2,10,pres,atma,
aGAyamAna,aGa#2,,pres,pass,
aGAyitavya,aGa#2,,fut,pass,
aGAyizyat,aGa#2,,fut,para,
aGAyizyamAna,aGa#2,,fut,atma,
aNkanIya,aNk,,fut,pass,
aNkayat,aNk,10,pres,para,
aNkayamAna,aNk,10,pres,atma,
aNkayitavya,aNk,,fut,pass,
aNkayizyat,aNk,,fut,para,
aNkayizyamAna,aNk,,fut,atma,
aNkitavat,aNk,,past,active,
aNkita,aNk,,past,pass,
aNktavya,aYc,,fut,pass,
aNktavya,aYj,,fut,pass,
aNkyamAna,aNk,,pres,pass,
aNkya,aNk,,fut,pass,
aNkzyat,aNg,,fut,para,
aNkzyat,aYc,,fut,para,
aNkzyat,aYj,,fut,para,
aNkzyamAna,aNg,,fut,atma,
aNkzyamAna,aYc,,fut,atma,
aNkzyamAna,aYj,,fut,atma,
aNKanIya,aNK,,fut,pass,
aNKayat,aNK,10,pres,para,
aNKayamAna,aNK,10,pres,atma,
aNKayitavya,aNK,,fut,pass,
aNKayizyat,aNK,,fut,para,
aNKayizyamAna,aNK,,fut,atma,
aNKitavat,aNK,,past,active,
aNKita,aNK,,past,pass,
aNKyamAna,aNK,,pres,pass,
aNKya,aNK,,fut,pass,
aNgat,aNg,1,pres,para,
aNganIya,aNg,,fut,pass,
aNgamAna,aNg,1,pres,atma,
aNgitavat,aNg,,past,active,
aNgita,aNg,,past,pass,
aNgtavya,aNg,,fut,pass,
aNgyamAna,aNg,,pres,pass,
aNgya,aNg,,fut,pass,
acat,aYc,1,pres,para,
acamAna,aYc,1,pres,atma,
acyamAna,aYc,,pres,pass,
ajat,aj,1,pres,para,
ajanIya,aj,,fut,pass,
ajamAna,aj,1,pres,atma,
ajiratavat,ajira#2,,past,active,
ajirata,ajira#2,,past,pass,
ajiraya,ajira#2,,fut,pass,
ajirARIya,ajira#2,,fut,pass,
ajirAyat,ajira#2,10,pres,para,
ajirAyamAna,ajira#2,10,pres,atma,
ajirAyamAna,ajira#2,,pres,pass,
ajirAyitavya,ajira#2,,fut,pass,
ajirAyizyat,ajira#2,,fut,para,
ajirAyizyamAna,ajira#2,,fut,atma,
ajyamAna,aj,,pres,pass,
ajyamAna,aYj,,pres,pass,
ajya,aj,,fut,pass,
aYcat,aYc,1,pres,para,
aYcanIya,aYc,,fut,pass,
aYcanIya,aYc,,fut,pass,caus
aYcamAna,aYc,1,pres,atma,
aYcayat,aYc,,pres,para,caus
aYcayamAna,aYc,,pres,atma,caus
aYcayitavya,aYc,,fut,pass,caus
aYcayizyat,aYc,,fut,para,caus
aYcayizyamAna,aYc,,fut,atma,
aYcayizyamAna,aYc,,fut,atma,caus
aYcitavat,aYc,,past,active,
aYcitavat,aYc,,past,active,caus
aYcita,aYc,,past,pass,
aYcita,aYc,,past,pass,caus
aYcyamAna,aYc,,pres,pass,caus
aYcya,aYc,,fut,pass,
aYcya,aYc,,fut,pass,caus
aYjat,aYj,7,pres,para,
aYjanIya,aYj,,fut,pass,
aYjanIya,aYj,,fut,pass,caus
aYjayat,aYj,,pres,para,caus
aYjayamAna,aYj,,pres,atma,caus
aYjayitavya,aYj,,fut,pass,caus
